code,year,subject,practice_count,test_count,baseline_pass,quality_pass,shared_source,cross_bank_duplicates,generic_items,truncated_items,missing_feedback,missing_audio,missing_visual_alt,option_mismatch,practice_answer_spread,test_answer_spread,practice_path,test_path,issues
AC9M1A01,1,math,28,16,true,true,false,0,0,0,0,0,0,0,1,1,quiz/year-1/math/ac9m1a01/practice/questions.js,quiz/year-1/math/ac9m1a01/test/questions.js,
AC9M1A02,1,math,28,16,true,true,false,0,0,0,0,0,0,0,1,1,quiz/year-1/math/ac9m1a02/practice/questions.js,quiz/year-1/math/ac9m1a02/test/questions.js,
AC9M1M01,1,math,28,16,true,true,false,0,0,0,0,0,0,0,1,1,quiz/year-1/math/ac9m1m01/practice/questions.js,quiz/year-1/math/ac9m1m01/test/questions.js,
AC9M1M02,1,math,28,16,true,true,false,0,0,0,0,0,0,0,1,1,quiz/year-1/math/ac9m1m02/practice/questions.js,quiz/year-1/math/ac9m1m02/test/questions.js,
AC9M1M03,1,math,28,16,true,true,false,0,0,0,0,0,0,0,1,1,quiz/year-1/math/ac9m1m03/practice/questions.js,quiz/year-1/math/ac9m1m03/test/questions.js,
AC9M1N01,1,math,56,24,true,true,false,0,0,0,0,0,0,0,1,0,quiz/year-1/math/ac9m1n01/practice/questions.js,quiz/year-1/math/ac9m1n01/test/questions.js,
AC9M1N02,1,math,56,24,true,true,false,0,0,0,0,0,0,0,1,0,quiz/year-1/math/ac9m1n02/practice/questions.js,quiz/year-1/math/ac9m1n02/test/questions.js,
AC9M1N03,1,math,56,24,true,true,false,0,0,0,0,0,0,0,1,0,quiz/year-1/math/ac9m1n03/practice/questions.js,quiz/year-1/math/ac9m1n03/test/questions.js,
AC9M1N04,1,math,28,16,true,true,false,0,0,0,0,0,0,0,1,1,quiz/year-1/math/ac9m1n04/practice/questions.js,quiz/year-1/math/ac9m1n04/test/questions.js,
AC9M1N05,1,math,28,16,true,true,false,0,0,0,0,0,0,0,1,1,quiz/year-1/math/ac9m1n05/practice/questions.js,quiz/year-1/math/ac9m1n05/test/questions.js,
AC9M1N06,1,math,28,16,true,true,false,0,0,0,0,0,0,0,1,1,quiz/year-1/math/ac9m1n06/practice/questions.js,quiz/year-1/math/ac9m1n06/test/questions.js,
AC9M1SP01,1,math,28,16,true,true,false,0,0,0,0,0,0,0,1,1,quiz/year-1/math/ac9m1sp01/practice/questions.js,quiz/year-1/math/ac9m1sp01/test/questions.js,
AC9M1SP02,1,math,28,16,true,true,false,0,0,0,0,0,0,0,1,1,quiz/year-1/math/ac9m1sp02/practice/questions.js,quiz/year-1/math/ac9m1sp02/test/questions.js,
AC9M1ST01,1,math,28,16,true,true,false,0,0,0,0,0,0,0,1,1,quiz/year-1/math/ac9m1st01/practice/questions.js,quiz/year-1/math/ac9m1st01/test/questions.js,
AC9M1ST02,1,math,28,16,true,true,false,0,0,0,0,0,0,0,1,1,quiz/year-1/math/ac9m1st02/practice/questions.js,quiz/year-1/math/ac9m1st02/test/questions.js,
